1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 Qe7 5. g3 Nc6 ;6;Karpov - Salov, 1995 (E11)
1. d4 Nf6 2. Nf3 d6 3. Nbd2 Bg4 4. e4 Nbd7 5. c3 e6 ;1;Karpov - Salov, 1995 (A46)
1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 Qe7 5. Nc3 Nc6 ;1;Karpov - Salov, 1995 (E11)
1. d4 Nf6 2. c4 d6 3. Nf3 Bg4 4. e3 Nbd7 5. h3 Bh5 ;1;Karpov - Salov, 1995 (A53)
1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nc6 5. c3 a6 ;1;Salov - Karpov, 1995 (B13)
1. d4 Nf6 2. Nf3 e6 3. Bg5 h6 4. Bh4 b6 5. e3 Bb7 ;1;Salov - Karpov, 1995 (A46)
1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 e6 ;13;Salov - Karpov, 1995 (B14)
1. d4 Nf6 2. Nf3 e6 3. Bg5 h6 4. Bh4 c5 5. e3 cxd4 ;2;Salov - Karpov, 1995 (A46)
1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 ;15;Karpov - Gelfand, 1995 (A59)
1. c4 Nf6 2. d4 e6 3. Nf3 b6 4. e3 Bb7 5. Nc3 d5 ;1;Gelfand - Karpov, 1995 (E14)
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. e3 Bf5 5. Bd3 Bxd3 ;2;Karpov - Gelfand, 1995 (D04)
1. c4 e5 2. g3 Nf6 3. Bg2 Nc6 4. Nf3 Bc5 5. O-O d6 ;1;Gelfand - Karpov, 1995 (A29)
1. d4 d5 2. c4 dxc4 3. e4 Nc6 4. Be3 Nf6 5. Nc3 e5 ;1;Kamsky - Salov, 1995 (D20)
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Bd3 d5 ;84;Kamsky - Salov, 1995 (E58)
1. Nf3 f5 2. g3 Nf6 3. Bg2 g6 4. O-O Bg7 5. d4 O-O ;2;Kramnik - Ivanchuk, 1995 (A87)
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O ;12;Shirov - Anand, 1995 (C49)
1. e4 c6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7 5. Ng5 e6 ;3;Ivanchuk - Karpov, 1995 (B17)
1. Nf3 Nf6 2. c4 c5 3. Nc3 Nc6 4. g3 g6 5. Bg2 d6 ;3;Kramnik - Kamsky, 1995 (A31)
